show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_number,duration_type,year_added,duration_num,content_length_category,original_vs_licensed,duration_int
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,Unknown,United States,2021-09-25,2020-01-01,PG-13,90 min,Documentaries,"as her father nears the end of his life, filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable.",90.0,min,2021.0,90.0,Medium Movie,Licensed,90.0
s2,Tv Show,Blood & Water,Unknown,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,2021-09-24,2021-01-01,TV-MA,2 seasons,"International Tv Shows, Tv Dramas, Tv Mysteries","after crossing paths at a party, a cape town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",2.0,season,2021.0,2.0,Multi Season Show,Original,2.0
s3,Tv Show,Ganglands,Julien Leclercq,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",Unknown,2021-09-24,2021-01-01,TV-MA,1 season,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure","to protect his family from a powerful drug lord, skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s4,Tv Show,Jailbirds New Orleans,Unknown,Unknown,Unknown,2021-09-24,2021-01-01,TV-MA,1 season,"Docuseries, Reality Tv","feuds, flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series.",1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s5,Tv Show,Kota Factory,Unknown,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,2021-09-24,2021-01-01,TV-MA,2 seasons,"International Tv Shows, Romantic Tv Shows, Tv Comedies","in a city of coaching centers known to train india’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",2.0,season,2021.0,2.0,Multi Season Show,Original,2.0
s6,Tv Show,Midnight Mass,Mike Flanagan,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Unknown,2021-09-24,2021-01-01,TV-MA,1 season,"Tv Dramas, Tv Horror, Tv Mysteries","the arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha","Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael Mckean, Phil Lamarr",Unknown,2021-09-24,2021-01-01,PG,91 min,Children & Family Movies,"equestria's divided. but a bright-eyed hero believes earth ponies, pegasi and unicorns should be pals — and, hoof to heart, she’s determined to prove it.",91.0,min,2021.0,91.0,Medium Movie,Original,91.0
s8,Movie,Sankofa,Haile Gerima,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2021-09-24,1993-01-01,TV-MA,125 min,"Dramas, Independent Movies, International Movies","on a photo shoot in ghana, an american model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",125.0,min,2021.0,125.0,Long Movie,Licensed,125.0
s9,Tv Show,The Great British Baking Show,Andy Devonshire,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,2021-09-24,2021-01-01,TV-14,9 seasons,"British Tv Shows, Reality Tv","a talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the u.k.'s best.",9.0,season,2021.0,9.0,Multi Season Show,Original,9.0
s10,Movie,The Starling,Theodore Melfi,"Melissa Mccarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,2021-09-24,2021-01-01,PG-13,104 min,"Comedies, Dramas",a woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,104.0,min,2021.0,104.0,Medium Movie,Original,104.0
s11,Tv Show,"Vendetta: Truth, Lies And The Mafia",Unknown,Unknown,Unknown,2021-09-24,2021-01-01,TV-MA,1 season,"Crime Tv Shows, Docuseries, International Tv Shows","sicily boasts a bold ""anti-mafia"" coalition. but what happens when those trying to bring down organized crime are accused of being criminals themselves?",1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s12,Tv Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",Unknown,2021-09-23,2021-01-01,TV-MA,1 season,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure","struggling to earn a living in bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic",2021-09-23,2021-01-01,TV-MA,127 min,"Dramas, International Movies","after most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",127.0,min,2021.0,127.0,Long Movie,Original,127.0
s14,Movie,Confessions Of An Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",Unknown,2021-09-22,2021-01-01,TV-PG,91 min,"Children & Family Movies, Comedies","when the clever but socially-awkward tetê joins a new school, she'll do anything to fit in. but the queen bee among her classmates has other ideas.",91.0,min,2021.0,91.0,Medium Movie,Original,91.0
s15,Tv Show,Crime Stories: India Detectives,Unknown,Unknown,Unknown,2021-09-22,2021-01-01,TV-MA,1 season,"British Tv Shows, Crime Tv Shows, Docuseries",cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s16,Tv Show,Dear White People,Unknown,"Logan Browning, Brandon P. Bell, Deron Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,2021-09-22,2021-01-01,TV-MA,4 seasons,"Tv Comedies, Tv Dramas","students of color navigate the daily slights and slippery politics of life at an ivy league college that's not nearly as ""post-racial"" as it thinks.",4.0,season,2021.0,4.0,Multi Season Show,Original,4.0
s17,Movie,Europe'S Most Dangerous Man: Otto Skorzeny In Spain,"Pedro De Echave García, Pablo Azorín Williams",Unknown,Unknown,2021-09-22,2020-01-01,TV-MA,67 min,"Documentaries, International Movies","declassified documents reveal the post-wwii life of otto skorzeny, a close hitler ally who escaped to spain and became an adviser to world presidents.",67.0,min,2021.0,67.0,Medium Movie,Licensed,67.0
s18,Tv Show,Falsa Identidad,Unknown,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel Del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,2021-09-22,2020-01-01,TV-MA,2 seasons,"Crime Tv Shows, Spanish-Language Tv Shows, Tv Dramas",strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,2.0,season,2021.0,2.0,Multi Season Show,Licensed,2.0
s19,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",Unknown,2021-09-22,2021-01-01,TV-14,94 min,Thrillers,"after a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",94.0,min,2021.0,94.0,Medium Movie,Original,94.0
s20,Tv Show,Jaguar,Unknown,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",Unknown,2021-09-22,2021-01-01,TV-MA,1 season,"International Tv Shows, Spanish-Language Tv Shows, Tv Action & Adventure","in the 1960s, a holocaust survivor joins a group of self-trained spies who seek justice against nazis fleeing to spain to hide after wwii.",1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s21,Tv Show,Monsters Inside: The 24 Faces Of Billy Milligan,Olivier Megaton,Unknown,Unknown,2021-09-22,2021-01-01,TV-14,1 season,"Crime Tv Shows, Docuseries, International Tv Shows","in the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates america.",1.0,season,2021.0,1.0,Single Season Show,Original,1.0
s22,Tv Show,Resurrection: Ertugrul,Unknown,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,2021-09-22,2018-01-01,TV-14,5 seasons,"International Tv Shows, Tv Action & Adventure, Tv Dramas","when a good deed unwittingly endangers his clan, a 13th-century turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",5.0,season,2021.0,5.0,Multi Season Show,Licensed,5.0
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",Unknown,2021-09-21,1996-01-01,TV-PG,161 min,"Comedies, International Movies","newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",161.0,min,2021.0,161.0,Long Movie,Licensed,161.0
s24,Movie,Go! Go! Cory Carson: Chrissy Takes The Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, Ac Lim",Unknown,2021-09-21,2021-01-01,TV-Y,61 min,Children & Family Movies,"from arcade games to sled days and hiccup cures, cory carson’s curious little sister chrissy speeds off on her own for fun and adventure all over town!",61.0,min,2021.0,61.0,Medium Movie,Original,61.0
s25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,2021-09-21,1998-01-01,TV-14,166 min,"Comedies, International Movies, Romantic Movies","when the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",166.0,min,2021.0,166.0,Long Movie,Licensed,166.0
s26,Tv Show,Love On The Spectrum,Unknown,Brooke Satchwell,Australia,2021-09-21,2021-01-01,TV-14,2 seasons,"Docuseries, International Tv Shows, Reality Tv","finding love can be hard for anyone. for young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",2.0,season,2021.0,2.0,Multi Season Show,Original,2.0
