show_id	type	title	director	country	primary_country	year_added	month_added	release_year	rating	rating_category	duration	duration_int	listed_in	genres	primary_genre	content_length_category	original_vs_licensed
s1	Movie	Dick Johnson Is Dead	Kirsten Johnson	United States	United States	2021	September	2020	Pg-13	Teen	90 min	90.0	Documentaries	Documentaries	Documentaries	Medium	Licensed
s2	Tv Show	Blood & Water	Unknown	South Africa	South Africa	2021	September	2021	Tv-Ma	Mature	2 Seasons	2.0	International Tv Shows, Tv Dramas, Tv Mysteries	International Tv Shows | Tv Dramas | Tv Mysteries	International Tv Shows	Series	Original
s3	Tv Show	Ganglands	Julien Leclercq	Nan	Unknown	2021	September	2021	Tv-Ma	Mature	1 Season	1.0	Crime Tv Shows, International Tv Shows, Tv Action & Adventure	Crime Tv Shows | International Tv Shows | Tv Action & Adventure	Crime Tv Shows	Series	Original
s4	Tv Show	Jailbirds New Orleans	Unknown	Nan	Unknown	2021	September	2021	Tv-Ma	Mature	1 Season	1.0	Docuseries, Reality Tv	Docuseries | Reality Tv	Docuseries	Series	Original
s5	Tv Show	Kota Factory	Unknown	India	India	2021	September	2021	Tv-Ma	Mature	2 Seasons	2.0	International Tv Shows, Romantic Tv Shows, Tv Comedies	International Tv Shows | Romantic Tv Shows | Tv Comedies	International Tv Shows	Series	Original
s6	Tv Show	Midnight Mass	Mike Flanagan	Nan	Unknown	2021	September	2021	Tv-Ma	Mature	1 Season	1.0	Tv Dramas, Tv Horror, Tv Mysteries	Tv Dramas | Tv Horror | Tv Mysteries	Tv Dramas	Series	Original
s7	Movie	My Little Pony: A New Generation	Robert Cullen, José Luis Ucha	Nan	Unknown	2021	September	2021	Pg	General	91 min	91.0	Children & Family Movies	Children & Family Movies	Children & Family Movies	Medium	Original
s8	Movie	Sankofa	Haile Gerima	United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia	United States	2021	September	1993	Tv-Ma	Mature	125 min	125.0	Dramas, Independent Movies, International Movies	Dramas | Independent Movies | International Movies	Dramas	Long	Licensed
s9	Tv Show	The Great British Baking Show	Andy Devonshire	United Kingdom	United Kingdom	2021	September	2021	Tv-14	Teen	9 Seasons	9.0	British Tv Shows, Reality Tv	British Tv Shows | Reality Tv	British Tv Shows	Series	Original
s10	Movie	The Starling	Theodore Melfi	United States	United States	2021	September	2021	Pg-13	Teen	104 min	104.0	Comedies, Dramas	Comedies | Dramas	Comedies	Medium	Original
